,train,val,test
0,patient_001_DEF,patient_019_ABC,patient_003_GH
1,patient_001_ABC,patient_021_DEF,patient_003_DEF
2,patient_002_ABC,patient_021_ABC,patient_003_ABC
3,patient_002_DEF,patient_024_ABC,patient_003_KL
4,patient_004_LMN,patient_024_GH,patient_020_CD
5,patient_004_ABC,patient_024_DEF,patient_020_AB
6,patient_004_DEF,patient_024_KL,patient_028_CD
7,patient_004_GHK,patient_063_ABC,patient_028_AB
8,patient_005_KL,patient_063_DEF,patient_028_EF
9,patient_005_ABC,patient_068_DEF,patient_040_DEF
10,patient_005_GH,patient_068_ABC,patient_040_ABC
11,patient_005_DEF,patient_070_ABC,patient_043_CD
12,patient_006_DEF,patient_070_DEF,patient_043_AB
13,patient_006_ABC,patient_070_LMN,patient_056_ABC
14,patient_007_DEF,patient_070_GHK,patient_056_DEF
15,patient_008_DEF,patient_072_DEF,patient_062_ABC
16,patient_008_LMN,patient_072_ABC,patient_062_DEF
17,patient_008_GHK,patient_078_EF,patient_066_GH
18,patient_008_ABC,patient_078_CD,patient_066_DEF
19,patient_009_GH,patient_078_AB,patient_066_ABC
20,patient_009_ABC,patient_085_AB,patient_077_DEF
21,patient_009_DEF,patient_085_CDE,patient_077_KL
22,patient_010_ABC,patient_088_KL,patient_077_GH
23,patient_010_DEF,patient_088_ABC,patient_077_ABC
24,patient_010_GH,patient_088_GH,patient_083_ABC
25,patient_010_KL,patient_088_DEF,patient_083_DEF
26,patient_011_DEF,patient_106_ABC,patient_096_ABC
27,patient_011_ABC,patient_106_DEF,patient_096_DEF
28,patient_012_CD,patient_109_DEF,patient_107_DEF
29,patient_012_AB,patient_109_ABC,patient_107_ABC
30,patient_013_AB,patient_122_DEF,patient_107_GHK
31,patient_013_CD,patient_127_ABC,patient_140_KL
32,patient_013_EF,patient_127_DEF,patient_140_ABC
33,patient_014_AB,patient_138_CD,patient_140_GH
34,patient_014_CD,patient_138_AB,patient_140_DEF
35,patient_014_EF,patient_155_DEF,patient_148_DEF
36,patient_015_ZZZ,patient_155_ABC,patient_148_ABC
37,patient_016_DEF,patient_158_CD,patient_157_ABC
38,patient_016_KL,patient_158_AB,patient_176_ABC
39,patient_016_GH,patient_159_ABC,patient_176_GHK
40,patient_016_ABC,patient_159_DEF,patient_187_ABC
41,patient_017_ABC,patient_181_CD,patient_191_CD
42,patient_017_DEF,patient_181_AB,patient_191_EFG
43,patient_018_ABC,patient_181_EF,patient_191_AB
44,patient_018_DEF,patient_181_G,patient_203_LMN
45,patient_022_AB,patient_188_ABC,patient_203_ABC
46,patient_022_EF,patient_188_DEF,patient_203_GHK
47,patient_022_CD,patient_202_ABC,patient_209_DEF
48,patient_023_DEF,patient_202_DEF,patient_209_KL
49,patient_023_ABC,,patient_209_GH
50,patient_025_AB,,patient_209_ABC
51,patient_025_CD,,patient_211_ZZZ
52,patient_026_ABC,,
53,patient_026_DEF,,
54,patient_027_HKL,,
55,patient_027_FG,,
56,patient_027_DE,,
57,patient_027_ABC,,
58,patient_029_ABC,,
59,patient_029_DEF,,
60,patient_030_CD,,
61,patient_030_AB,,
62,patient_030_EF,,
63,patient_031_ABC,,
64,patient_031_F,,
65,patient_031_DE,,
66,patient_032_AB,,
67,patient_032_GH,,
68,patient_032_EF,,
69,patient_032_CD,,
70,patient_033_GH,,
71,patient_033_DEF,,
72,patient_033_ABC,,
73,patient_033_KL,,
74,patient_034_CD,,
75,patient_034_AB,,
76,patient_034_EF,,
77,patient_035_GH,,
